Net Status Report
Filename     : C:\Users\Tayyar\Desktop\school\MQP\PCB\FPGA_interface_layout\FPGA_interface\FPGA_interface_ver2.PcbDoc
Date         : 1/2/2012
Time         : 10:54:15 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    VGA56_A3, Signal Layers Only, 1420.636mils
    VGA56_A4, Signal Layers Only, 1250.722mils
    VGA56_B0, Signal Layers Only, 1055.894mils
    VGA56_B1, Signal Layers Only, 777.55mils
    VGA56_B2, Signal Layers Only, 1056.071mils
    VGA56_B3, Signal Layers Only, 776.897mils
    VGA56_B4, Signal Layers Only, 1052.104mils
    VGA78_A0, Signal Layers Only, 1639.027mils
    VGA78_A1, Signal Layers Only, 1864.733mils
    VGA78_A2, Signal Layers Only, 1761.841mils
    VGA78_A3, Signal Layers Only, 2125.644mils
    VGA78_A4, Signal Layers Only, 1920.769mils
    VGA78_B0, Signal Layers Only, 758.145mils
    VGA78_B1, Signal Layers Only, 966.544mils
    VGA78_B2, Signal Layers Only, 766.28mils
    VGA78_B3, Signal Layers Only, 906.861mils
    VGA78_B4, Signal Layers Only, 756.426mils
    VGA_ENA12, Signal Layers Only, 601.208mils
    VGA_ENA34, Signal Layers Only, 848.809mils
    VGA_ENA56, Signal Layers Only, 1039.434mils
    VGA_ENA78, Signal Layers Only, 408.711mils
    VGA_ENB12, Signal Layers Only, 603.368mils
    VGA_ENB34, Signal Layers Only, 849.461mils
    VGA_ENB56, Signal Layers Only, 1040.598mils
    VGA_ENB78, Signal Layers Only, 409.363mils
count : 181
